Word,Seq_num,Word Count,Word Proportion,Average Proportion,Std Dev,Doc Count,Negative,Positive,Uncertainty,Litigious,Strong_Modal,Weak_Modal,Constraining,Complexity,Syllables,Source,GPT_JA
ABANDONS,15,7965,3.117501231790394e-07,1.6340174851449396e-07,3.5506612210581454e-06,5708,2009,0,0,0,0,0,0,0,3,12of12inf,放棄する
ABASE,16,49,1.9178601425954715e-09,2.351946156506321e-09,5.872476832768332e-07,43,0,0,0,0,0,0,0,0,2,12of12inf,屈従する
ABASED,17,75,2.9355002182583747e-09,6.881256715166751e-09,1.7611791086181566e-06,62,0,0,0,0,0,0,0,0,2,12of12inf,屈従した
ABASEMENT,18,15,5.87100043651675e-10,2.4317715250180167e-10,1.0062488359340301e-07,11,0,0,0,0,0,0,0,0,3,12of12inf,屈従
ABASEMENTS,19,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,屈従
ABASES,20,3,1.17420008730335e-10,1.2890051617869898e-10,1.0054102999846233e-07,3,0,0,0,0,0,0,0,0,3,12of12inf,屈従する
ABASH,21,5,1.9570001455055826e-10,1.0356070257785966e-10,5.21573844603919e-08,5,0,0,0,0,0,0,0,0,2,12of12inf,動揺させる
ABASHED,22,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf,動揺した
ABASHEDLY,23,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,動揺して
ABASHES,24,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,動揺させる
ABASHING,25,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,動揺させている
ABASHMENT,26,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,動揺
ABASHMENTS,27,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,動揺
ABASING,28,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,屈従させている
ABATE,29,34295,1.3423063998022796e-06,8.767741885025769e-07,1.177372025725512e-05,19749,0,0,0,0,0,0,0,0,2,12of12inf,削減する
ABATED,30,40824,1.5978514788023985e-06,9.25513061617978e-07,1.1866740391569954e-05,18933,0,0,0,0,0,0,0,0,3,12of12inf,削減した
ABATEMENT,31,159420,6.239699263930002e-06,3.498637336193735e-06,3.815454312294546e-05,48174,0,0,0,0,0,0,0,0,3,12of12inf,減免
ABATEMENTS,32,24659,9.651533317604436e-07,6.668316997021978e-07,1.4114847610326793e-05,11465,0,0,0,0,0,0,0,0,3,12of12inf,減免
ABATES,33,1017,3.980538295958356e-08,2.814299029688265e-08,1.8171548579124328e-06,720,0,0,0,0,0,0,0,0,2,12of12inf,減免
ABATING,34,2564,1.0035496746152632e-07,6.69086789028991e-08,2.6329666378269896e-06,1855,0,0,0,0,0,0,0,0,3,12of12inf,減免
ABATTOIR,35,199,7.788860579112222e-09,5.0127905229382885e-09,7.278581887335947e-07,78,0,0,0,0,0,0,0,0,3,12of12inf,食肉処理場
ABATTOIRS,36,157,6.144980456887531e-09,4.1324444325187525e-09,9.64475270675849e-07,50,0,0,0,0,0,0,0,0,3,12of12inf,食肉処理場
ABBE,37,608,2.3797121769347893e-08,2.5654250499018075e-08,4.5675197329541935e-06,247,0,0,0,0,0,0,0,0,1,12of12inf,アベ
ABBES,38,11,4.305400320112282e-10,1.76256704063517e-10,1.1339311549900137e-07,5,0,0,0,0,0,0,0,0,2,12of12inf,アベ
ABBESS,39,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf,女子修道院長
ABBESSES,40,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,女子修道院長
ABBEY,41,5962,2.3335269735008573e-07,2.4667244761497256e-07,2.285310811726136e-05,1800,0,0,0,0,0,0,0,0,2,12of12inf,修道院
ABBEYS,42,3,1.17420008730335e-10,1.1208589074105767e-10,9.207605262231264e-08,3,0,0,0,0,0,0,0,0,2,12of12inf,修道院
ABBOT,43,2130,8.336820619853784e-08,8.882343440749986e-08,8.319034317035853e-06,925,0,0,0,0,0,0,0,0,2,12of12inf,修道院長
ABBOTS,44,27,1.0567800785730147e-09,6.583743622348197e-10,1.9543842870905477e-07,23,0,0,0,0,0,0,0,0,2,12of12inf,修道院長
ABBREVIATE,45,959,3.7535262790797096e-08,4.883318912455828e-08,4.452894376144311e-06,399,0,0,0,0,0,0,0,0,4,12of12inf,省略する
ABBREVIATED,46,47392,1.854923017916012e-06,1.4161016179393277e-06,2.0100359590655267e-05,23879,0,0,0,0,0,0,0,0,5,12of12inf,省略された
ABBREVIATES,47,77,3.013780224078598e-09,3.753393235241879e-09,8.746759972540376e-07,45,0,0,0,0,0,0,0,0,4,12of12inf,省略する
ABBREVIATING,48,17,6.653800494718983e-10,1.9607036912642126e-09,6.437006241762414e-07,16,0,0,0,0,0,0,0,0,5,12of12inf,省略する
ABBREVIATION,49,13833,5.414236602555747e-07,2.919545567108109e-07,6.454273009347096e-06,7318,0,0,0,0,0,0,0,0,5,12of12inf,略語
ABBREVIATIONS,50,34453,1.348490520262077e-06,7.374142274008964e-07,9.130984666117752e-06,18099,0,0,0,0,0,0,0,0,5,12of12inf,略語
ABDICATE,51,50,1.957000145505583e-09,1.1319464819197874e-09,3.0841970753663725e-07,36,0,0,0,0,0,0,0,0,3,12of12inf,退位する
ABDICATED,52,141,5.518740410325745e-09,3.6419474132904766e-09,5.199746799774813e-07,88,2009,0,0,0,0,0,0,0,4,12of12inf,退位した
ABDICATES,53,1,3.914000291011166e-11,1.234773542798468e-11,1.366368846524572e-08,1,2009,0,0,0,0,0,0,0,3,12of12inf,退位する
ABDICATING,54,48,1.87872013968536e-09,1.1251444677798307e-09,2.4141265490720017e-07,36,2009,0,0,0,0,0,0,0,4,12of12inf,退位する
ABDICATION,55,784,3.0685762281527544e-08,2.0880353248331405e-08,1.4173957585574496e-06,629,2009,0,0,0,0,0,0,0,4,12of12inf,退位
ABDICATIONS,56,0,0.0,0.0,0.0,0,2009,0,0,0,0,0,0,0,4,12of12inf,退位
ABDOMEN,57,3087,1.208251889835147e-07,8.409286374644056e-08,3.6818086672443176e-06,1736,0,0,0,0,0,0,0,0,3,12of12inf,腹部
ABDOMENS,58,9,3.52260026191005e-10,1.1920950865160726e-10,5.658255308123184e-08,8,0,0,0,0,0,0,0,0,3,12of12inf,腹部
ABDOMINAL,59,14632,5.726965225807539e-07,3.82068399159403e-07,9.65392259626978e-06,5850,0,0,0,0,0,0,0,0,4,12of12inf,腹筋
ABDOMINALS,60,23,9.00220066932568e-10,2.0812806975972627e-09,5.191316035098169e-07,23,0,0,0,0,0,0,0,0,4,12of12inf,腹筋
ABDUCT,61,5,1.9570001455055826e-10,7.896811292751038e-11,6.242279026393472e-08,4,0,0,0,0,0,0,0,0,2,12of12inf,誘拐する
ABDUCTED,62,144,5.6361604190560805e-09,1.2040510075088812e-08,2.1636312576454053e-06,88,0,0,0,0,0,0,0,0,3,12of12inf,誘拐された
ABDUCTING,63,5,1.9570001455055826e-10,9.248849608122923e-11,5.048969876398394e-08,5,0,0,0,0,0,0,0,0,3,12of12inf,誘拐している
ABDUCTION,64,217,8.493380631494231e-09,5.710516993209618e-09,1.0739150159793026e-06,129,0,0,0,0,0,0,0,0,3,12of12inf,誘拐
ABDUCTIONS,65,99,3.874860288101055e-09,4.793414433127591e-09,8.055833057614879e-07,57,0,0,0,0,0,0,0,0,3,12of12inf,誘拐
ABDUCTOR,66,9,3.52260026191005e-10,8.510213613171865e-11,5.9562592802999646e-08,3,0,0,0,0,0,0,0,0,3,12of12inf,誘拐者
ABDUCTORS,67,8,3.131200232808933e-10,1.5609308934508028e-10,7.282328602404845e-08,7,0,0,0,0,0,0,0,0,3,12of12inf,誘拐者
ABDUCTS,68,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf,誘拐する
ABEAM,69,61,2.3875401775168114e-09,2.5942697818785315e-09,6.111052921821217e-07,38,0,0,0,0,0,0,0,0,2,12of12inf,直角に
ABED,70,125,4.892500363763958e-09,7.603435726325032e-09,2.0979321498284617e-06,49,0,0,0,0,0,0,0,0,2,12of12inf,寝て
ABERRANT,71,2475,9.687150720252637e-08,4.667298130143824e-08,1.8813843492765008e-06,1662,2009,0,0,0,0,0,0,0,3,12of12inf,異常な
ABERRATION,72,1176,4.602864342229132e-08,4.4560667301866734e-08,3.578026587083107e-06,826,2009,0,0,0,0,0,0,0,4,12of12inf,逸脱
ABERRATIONAL,73,106,4.148840308471837e-09,2.940197295823375e-09,5.198510325190936e-07,69,2009,0,0,0,0,0,0,0,5,12of12inf,逸脱的な
ABERRATIONS,74,2154,8.430756626838055e-08,7.466529726750909e-08,3.261185516835535e-06,1488,2009,0,0,0,0,0,0,0,4,12of12inf,逸脱
ABET,75,1674,6.552036487152692e-08,3.9632155217470727e-08,2.0210219921987567e-06,1110,0,0,0,0,0,0,0,0,2,12of12inf,唆す
ABETS,76,229,8.96306066641557e-09,6.133003910948952e-09,6.774820074014314e-07,177,0,0,0,0,0,0,0,0,2,12of12inf,唆す
ABETTED,77,17798,6.966137717941674e-07,6.157113182191437e-07,1.160550787370332e-05,9472,0,0,0,0,0,0,0,0,3,12of12inf,唆された
ABETTER,78,33,1.2916200960336844e-09,2.3761024112094715e-09,6.710605372983769e-07,25,0,0,0,0,0,0,0,0,3,12of12inf,唆す人
ABETTERS,79,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,唆す人
ABETTING,80,25719,1.006641734845162e-06,8.856219526654774e-07,1.848745958642989e-05,11913,2009,0,0,0,0,0,0,0,3,12of12inf,唆し
ABETTOR,81,183,7.162620532550435e-09,8.012364645762184e-09,1.3110560690017578e-06,130,0,0,0,0,0,0,0,0,3,12of12inf,唆す者
ABETTORS,82,103,4.031420299741502e-09,4.9307235042180975e-09,9.310411075983756e-07,68,0,0,0,0,0,0,0,0,3,12of12inf,唆す者
ABEYANCE,83,18959,7.420553151728071e-07,4.5331860728662363e-07,9.792170259920785e-06,7803,0,0,2009,0,0,0,0,0,3,12of12inf,保留
ABEYANCES,84,20,7.82800058202233e-10,7.509607843274133e-10,2.666555755139245e-07,19,0,0,2009,0,0,0,0,0,4,12of12inf,保留
ABHOR,85,12,4.6968003492134e-10,3.3779035414333465e-10,1.3217516015094074e-07,12,0,0,0,0,0,0,0,0,2,12of12inf,嫌う
ABHORRED,86,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf,嫌われた
ABHORRENCE,87,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,嫌悪
ABHORRENCES,88,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,嫌悪感
ABHORRENT,89,52,2.0352801513258064e-09,1.631050270506795e-09,4.385972140177068e-07,36,0,0,0,0,0,0,0,0,3,12of12inf,嫌悪すべき
ABHORRENTLY,90,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,嫌悪すべく
ABHORRING,91,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,嫌悪している
ABHORS,92,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf,嫌悪する
ABIDANCE,93,127,4.9707803695841815e-09,3.582225524353614e-09,5.883353278203136e-07,108,0,0,0,0,0,0,0,0,3,12of12inf,遵守
ABIDANCES,94,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,遵守
ABIDE,95,88344,3.4577844170909047e-06,2.116158200250737e-06,1.6290175909403578e-05,53402,0,0,0,0,0,0,2009,0,2,12of12inf,従う
ABIDED,96,783,3.0646622278617434e-08,1.8582502913482426e-08,1.2998670528733142e-06,550,0,0,0,0,0,0,0,0,3,12of12inf,従った
ABIDES,97,1271,4.974694369875192e-08,2.7902780756473956e-08,1.7298350998129584e-06,986,0,0,0,0,0,0,0,0,2,12of12inf,従う
ABIDING,98,3672,1.4372209068593006e-07,1.1137401785361409e-07,3.721252743751959e-06,2922,0,0,0,0,0,0,2009,0,3,12of12inf,永続する
ABIDINGLY,99,1,3.914000291011166e-11,2.184678113844067e-11,2.4175089690335232e-08,1,0,0,0,0,0,0,0,0,4,12of12inf,永続的に
ABILITIES,100,106985,4.1873932113382965e-06,3.758751442908742e-06,2.353301942100251e-05,78429,0,0,0,0,0,0,0,0,4,12of12inf,能力
ABILITY,101,15115919,0.000591637113649,0.0005809712146083,0.0005005110168571,1054128,0,0,0,0,0,0,0,0,4,12of12inf,能力
ABJECT,102,28,1.0959200814831266e-09,6.380041013000548e-10,1.7962400965175564e-07,24,0,0,0,0,0,0,0,0,2,12of12inf,惨めな
ABJECTION,103,7,2.7398002037078165e-10,1.5174993877275998e-10,7.968649015855777e-08,7,0,0,0,0,0,0,0,0,3,12of12inf,拒絶
ABJECTIONS,104,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,拒絶
ABJECTLY,105,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,惨めに
ABJECTNESS,106,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,卑屈
ABJECTNESSES,107,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,卑屈
ABJURATION,108,3,1.17420008730335e-10,2.029888916616554e-10,1.7068176260294272e-07,2,0,0,0,0,0,0,0,0,4,12of12inf,誓約放棄
ABJURATIONS,109,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,誓約放棄
ABJURATORY,110,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf,誓約放棄的
ABJURE,111,3,1.17420008730335e-10,2.13073661721674e-11,2.3578186873973883e-08,1,0,0,0,0,0,0,0,0,2,12of12inf,放棄する
ABJURED,112,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf,放棄した
ABJURER,113,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,放棄者
ABJURERS,114,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,放棄者
ABJURES,115,1,3.914000291011166e-11,4.409819783660299e-11,4.8797938750171254e-08,1,0,0,0,0,0,0,0,0,2,12of12inf,放棄する
ABJURING,116,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,放棄している
ABLATE,117,2255,8.826070656230183e-08,6.201340718184603e-08,3.3264242591854075e-06,976,0,0,0,0,0,0,0,0,2,12of12inf,除去する
ABLATED,118,305,1.1937700887584057e-08,8.133891598430781e-09,7.931733292592467e-07,225,0,0,0,0,0,0,0,0,3,12of12inf,除去された
ABLATES,119,269,1.0528660782820038e-08,9.241445405635483e-09,1.1331791345218777e-06,219,0,0,0,0,0,0,0,0,2,12of12inf,除去する
ABLATING,120,591,2.3131741719875992e-08,1.7036501351880388e-08,1.266262009109633e-06,378,0,0,0,0,0,0,0,0,3,12of12inf,除去している
ABLATION,121,28951,1.1331422242506428e-06,9.020951631247468e-07,3.485561705838169e-05,4137,0,0,0,0,0,0,0,0,3,12of12inf,切除
ABLATIONS,122,740,2.8963602153482637e-08,1.8245653841576783e-08,1.6657590738391582e-06,337,0,0,0,0,0,0,0,0,3,12of12inf,切除
ABLATIVE,123,1561,6.10975445426843e-08,3.807346473298914e-08,2.9339293969290138e-06,628,0,0,0,0,0,0,0,0,3,12of12inf,奪格
ABLATIVES,124,25,9.785000727527915e-10,6.793294231691174e-10,3.621925441255602e-07,20,0,0,0,0,0,0,0,0,3,12of12inf,奪格
ABLAZE,125,66,2.583240192067369e-09,2.3552883690085277e-09,6.693957837087568e-07,22,0,0,0,0,0,0,0,0,2,12of12inf,燃え上がって
ABLE,126,5737316,0.0002245585649362,0.0002116740765934,0.0003010151927407,790226,0,2009,0,0,0,0,0,0,2,12of12inf,できる
ABLER,127,21,8.219400611123447e-10,4.179866017302933e-10,1.2364833453785646e-07,19,0,0,0,0,0,0,0,0,2,12of12inf,よりできる
ABLEST,128,280,1.0959200814831266e-08,3.2369456226633e-08,1.0892466844831353e-05,39,0,0,0,0,0,0,0,0,2,12of12inf,最もできる
ABLOOM,129,3,1.17420008730335e-10,1.943633976219416e-11,1.7020646973615682e-08,2,0,0,0,0,0,0,0,0,2,12of12inf,咲き誇って
ABLUTION,130,26,1.0176400756629032e-09,5.24880681211442e-10,1.5197059827149198e-07,23,0,0,0,0,0,0,0,0,3,12of12inf,沐浴
ABLUTIONS,131,39,1.5264601134943544e-09,2.31889333332634e-10,1.053617453005798e-07,9,0,0,0,0,0,0,0,0,3,12of12inf,沐浴
ABLY,132,1382,5.409148402177433e-08,2.596069950669e-08,1.8037882708085508e-06,1097,0,0,0,0,0,0,0,0,2,12of12inf,うまく
ABNEGATE,133,4,1.5656001164044664e-10,1.2650523284513426e-10,9.902051110916916e-08,2,0,0,0,0,0,0,0,0,3,12of12inf,放棄する
ABNEGATED,134,1,3.914000291011166e-11,1.5809480519901864e-11,1.7494367115425536e-08,1,0,0,0,0,0,0,0,0,4,12of12inf,放棄された
ABNEGATES,135,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,放棄する
ABNEGATING,136,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,放棄している
ABNEGATION,137,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,放棄
ABNEGATIONS,138,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,放棄
ABNORMAL,139,74886,2.931038257926622e-06,2.8571988942163787e-06,2.549443324327932e-05,39304,2009,0,0,0,0,0,0,0,3,12of12inf,異常
ABNORMALITIES,140,10889,4.261954916882059e-07,2.886649636904033e-07,6.806092136605457e-06,6094,2009,0,0,0,0,0,0,0,5,12of12inf,異常
ABNORMALITY,141,2467,9.655838717924548e-08,7.852889378022638e-08,3.440472351607398e-06,1656,2009,0,0,0,0,0,0,0,5,12of12inf,異常
ABNORMALLY,142,14578,5.705829624236079e-07,5.606253791835825e-07,1.0280750141823817e-05,10856,2009,0,0,0,0,0,0,0,4,12of12inf,異常に
ABOARD,143,7830,3.064662227861744e-07,2.696522892628094e-07,7.926705249413054e-06,4286,0,0,0,0,0,0,0,0,2,12of12inf,乗って
ABODE,144,1329,5.20170638675384e-08,2.7512855462706534e-08,6.507590628322642e-06,332,0,0,0,0,0,0,0,0,2,12of12inf,住居
ABODES,145,6,2.3484001746067e-10,1.3721738851080523e-10,1.0937272636085837e-07,6,0,0,0,0,0,0,0,0,2,12of12inf,住居
ABOLISH,146,11846,4.636524744731829e-07,2.8890285660069944e-07,4.879263472429072e-06,9667,2009,0,0,0,0,0,0,0,3,12of12inf,廃止する
ABOLISHED,147,3335,1.305319097052224e-07,9.680363160791205e-08,3.058065042244145e-06,2635,2009,0,0,0,0,0,0,0,3,12of12inf,廃止された
ABOLISHES,148,314,1.2289960913775062e-08,1.1644282309419548e-08,1.5208838379038924e-06,275,2009,0,0,0,0,0,0,0,4,12of12inf,廃止する
ABOLISHING,149,661,2.587154192358381e-08,2.4552705226071188e-08,1.5973003916379865e-06,568,2009,0,0,0,0,0,0,0,4,12of12inf,廃止している
ABOLISHMENT,150,528,2.066592153653896e-08,1.801868377985589e-08,2.8579322238370124e-06,326,0,0,0,0,0,0,0,0,0,10K_2014,廃止
ABOLITION,151,797,3.1194582319359e-08,2.2985315336612986e-08,1.403267394482492e-06,644,0,0,0,0,0,0,0,0,4,12of12inf,廃止
ABOLITIONISM,152,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,12of12inf,奴隷制度廃止論
ABOLITIONISMS,153,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,6,12of12inf,奴隷制廃止論
ABOLITIONIST,154,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf,奴隷取り消し主義者
ABOLITIONISTS,155,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf,奴隷取り消し主義者
ABOLITIONS,156,3,1.17420008730335e-10,3.5242183011731585e-11,3.420039399377589e-08,2,0,0,0,0,0,0,0,0,4,12of12inf,廃止
ABOMINABLE,157,26,1.0176400756629032e-09,9.111794617625611e-10,3.968788117289394e-07,10,0,0,0,0,0,0,0,0,5,12of12inf,憎むべき
ABOMINABLY,158,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf,ひどく
ABOMINATE,159,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,嫌う
ABOMINATED,160,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf,嫌われた
ABOMINATES,161,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,嫌う
ABOMINATING,162,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,12of12inf,嫌っている
ABOMINATION,163,16,6.262400465617866e-10,5.028970410808901e-10,2.075143070871573e-07,12,0,0,0,0,0,0,0,0,5,12of12inf,忌まわしい
ABOMINATIONS,164,1,3.914000291011166e-11,4.169582996712196e-11,4.613953986084046e-08,1,0,0,0,0,0,0,0,0,5,12of12inf,忌まわしいもの
ABORIGINAL,165,4998,1.956217345447381e-07,1.4090747231249785e-07,7.994769691484603e-06,1374,0,0,0,0,0,0,0,0,5,12of12inf,先住民の
ABORIGINALS,166,100,3.914000291011166e-09,5.936676044443395e-09,8.730714793350186e-07,87,0,0,0,0,0,0,0,0,5,12of12inf,先住民
ABORIGINE,167,5,1.9570001455055826e-10,7.57290547488852e-10,5.105617334583356e-07,4,0,0,0,0,0,0,0,0,5,12of12inf,先住民
ABORIGINES,168,53,2.0744201542359183e-09,3.1178439132651564e-09,6.97389204011035e-07,41,0,0,0,0,0,0,0,0,5,12of12inf,先住民
ABORNING,169,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3,12of12inf,途中で
ABORT,170,1100,4.305400320112283e-08,3.255620488183439e-08,2.410968944956277e-06,633,0,0,0,0,0,0,0,0,2,12of12inf,中止する
ABORTED,171,3728,1.459139308488963e-07,2.584500200467308e-07,1.1286839878451027e-05,2367,0,0,0,0,0,0,0,0,3,12of12inf,中止された
ABORTING,172,75,2.9355002182583747e-09,2.058705150519559e-09,4.940951788399845e-07,38,0,0,0,0,0,0,0,0,3,12of12inf,中止している
ABORTION,173,935,3.6595902720954403e-08,1.629993490402882e-08,1.2445225214082294e-06,468,0,0,0,0,0,0,0,0,3,12of12inf,妊娠中絶
ABORTIONIST,174,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,妊娠中絶施行者
ABORTIONISTS,175,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,4,12of12inf,妊娠中絶施行者
ABORTIONS,176,501,1.9609141457965945e-08,5.51747829141597e-09,6.73868420405104e-07,171,0,0,0,0,0,0,0,0,3,12of12inf,妊娠中絶
ABORTIVE,177,258,1.0098120750808807e-08,9.8570036283068e-09,1.3470123662389708e-06,152,0,0,0,0,0,0,0,0,3,12of12inf,無駄な
ABORTIVELY,178,1,3.914000291011166e-11,7.228310548203671e-11,7.998663725565776e-08,1,0,0,0,0,0,0,0,0,4,12of12inf,無駄に
ABORTS,179,84,3.2877602444493798e-09,2.8996759920117717e-09,8.536631502458463e-07,68,0,0,0,0,0,0,0,0,2,12of12inf,中止する
ABOUND,180,518,2.0274521507437842e-08,2.5514573018620706e-08,1.9516485625816574e-06,468,0,0,0,0,0,0,0,0,2,12of12inf,豊富にある
ABOUNDED,181,26,1.0176400756629032e-09,1.3800410121237915e-09,3.3875529011108293e-07,26,0,0,0,0,0,0,0,0,3,12of12inf,豊富にある
ABOUNDING,182,51,1.996140148415695e-09,1.192718412963628e-09,2.412717750725614e-07,34,0,0,0,0,0,0,0,0,3,12of12inf,豊富
ABOUNDS,183,134,5.244760389954963e-09,4.512155865281658e-09,6.792365900609987e-07,122,0,0,0,0,0,0,0,0,2,12of12inf,あふれる
ABOUT,184,9370553,0.0003667634716893,0.0004745710326917,0.0004118649121672,1061304,0,0,0,0,0,0,0,0,2,12of12inf,約
ABOUTS,185,30,1.1742000873033502e-09,1.1215239555161903e-09,3.174840339061472e-07,27,0,0,0,0,0,0,0,0,2,10K_2018,約
ABOVE,186,11273915,0.0004412610659083,0.0003862428055514,0.0003865360510037,1012020,0,0,0,0,0,0,0,0,2,12of12inf,上
ABOVEBOARD,187,9,3.52260026191005e-10,1.7215452832902866e-10,7.040625230507759e-08,9,0,0,0,0,0,0,0,0,3,12of12inf,公正な
ABOVEGROUND,188,7255,2.8396072111286013e-07,1.9846040551316494e-07,8.324631489102722e-06,4198,0,0,0,0,0,0,0,0,3,10K_2008,地上
ABOVEMENTIONED,189,7625,2.9844252218960145e-07,3.099364724650241e-07,8.58768261595635e-06,4521,0,0,0,2011,0,0,0,0,4,10K_2010,前述の
ABOVES,190,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,2,12of12inf,上記
ABRACADABRA,191,33,1.2916200960336844e-09,7.543859647959844e-10,2.2754536065997157e-07,28,0,0,0,0,0,0,0,0,5,12of12inf,アブラカダブラ
ABRACADABRAS,192,3,1.17420008730335e-10,1.6505954104817659e-10,1.1190523189381213e-07,3,0,0,0,0,0,0,0,0,5,12of12inf,アブラカダブラ
